system,topic,score
input.fub04Dge,t_666,0.02
input.fub04Dge,t_671,0.4459
input.fub04Dge,t_676,0.327
input.fub04Dge,t_681,0.6232
input.fub04Dge,t_686,0.6083
input.fub04Dge,t_691,0.044
input.fub04Dge,t_696,0.3645
input.fub04T2ge,t_301,0.0357
input.fub04T2ge,t_306,0.245
input.fub04T2ge,t_311,0.1671
input.fub04T2ge,t_316,0.6136
input.fub04T2ge,t_321,0.3037
input.fub04T2ge,t_326,0.7113
input.fub04T2ge,t_331,0.4665
input.fub04T2ge,t_336,0.0965
input.fub04T2ge,t_341,0.4306
input.fub04T2ge,t_346,0.0262
input.fub04T2ge,t_351,0.6035
input.fub04T2ge,t_356,0.0467
input.fub04T2ge,t_361,0.5219
input.fub04T2ge,t_366,0.4778
input.fub04T2ge,t_371,0.0014
input.fub04T2ge,t_376,0.023
input.fub04T2ge,t_381,0.0529
input.fub04T2ge,t_386,0.0495
input.fub04T2ge,t_391,0.0958
input.fub04T2ge,t_396,0.359
input.fub04T2ge,t_401,0.0176
input.fub04T2ge,t_406,0.4495
input.fub04T2ge,t_411,0.3116
input.fub04T2ge,t_416,0.2766
input.fub04T2ge,t_421,0.0199
input.fub04T2ge,t_426,0.074
input.fub04T2ge,t_431,0.5744
input.fub04T2ge,t_436,0.1016
input.fub04T2ge,t_441,0.6042
input.fub04T2ge,t_446,0.3115
input.fub04T2ge,t_601,0.6467
input.fub04T2ge,t_606,0.4658
input.fub04T2ge,t_611,0.2544
input.fub04T2ge,t_616,0.7332
input.fub04T2ge,t_621,0.4641
input.fub04T2ge,t_626,0.2541
input.fub04T2ge,t_631,0.137
input.fub04T2ge,t_636,0.4088
input.fub04T2ge,t_641,0.5519
input.fub04T2ge,t_646,0.1855
input.fub04T2ge,t_651,0.0187
input.fub04T2ge,t_656,0.2961
input.fub04T2ge,t_661,0.6995
input.fub04T2ge,t_666,0.0087
input.fub04T2ge,t_671,0.3968
input.fub04T2ge,t_676,0.2838
input.fub04T2ge,t_681,0.335
input.fub04T2ge,t_686,0.4886
input.fub04T2ge,t_691,0.279
input.fub04T2ge,t_696,0.3416
input.fub04TDNe,t_301,0.1759
input.fub04TDNe,t_306,0.1381
input.fub04TDNe,t_311,0.2624
input.fub04TDNe,t_316,0.3375
input.fub04TDNe,t_321,0.2236
input.fub04TDNe,t_326,0.7306
input.fub04TDNe,t_331,0.2039
input.fub04TDNe,t_336,0.1274
input.fub04TDNe,t_341,0.3227
input.fub04TDNe,t_346,0.0494
input.fub04TDNe,t_351,0.6084
input.fub04TDNe,t_356,0.056
input.fub04TDNe,t_361,0.6406
input.fub04TDNe,t_366,0.4818
input.fub04TDNe,t_371,0.0834
input.fub04TDNe,t_376,0.0061
input.fub04TDNe,t_381,0.0515
input.fub04TDNe,t_386,0.0289
input.fub04TDNe,t_391,0.2827
input.fub04TDNe,t_396,0.4604
input.fub04TDNe,t_401,0.2153
input.fub04TDNe,t_406,0.3505
input.fub04TDNe,t_411,0.4288
input.fub04TDNe,t_416,0.3415
input.fub04TDNe,t_421,0.0118
input.fub04TDNe,t_426,0.1672
input.fub04TDNe,t_431,0.5644
input.fub04TDNe,t_436,0.1708
input.fub04TDNe,t_441,0.6249
input.fub04TDNe,t_446,0.3573
input.fub04TDNe,t_601,0.2414
input.fub04TDNe,t_606,0.6701
input.fub04TDNe,t_611,0.368
input.fub04TDNe,t_616,0.7262
input.fub04TDNe,t_621,0.4654
input.fub04TDNe,t_626,0.3562
input.fub04TDNe,t_631,0.193
input.fub04TDNe,t_636,0.0189
input.fub04TDNe,t_641,0.6867
input.fub04TDNe,t_646,0.2373
input.fub04TDNe,t_651,0.178
input.fub04TDNe,t_656,0.5416
input.fub04TDNe,t_661,0.6416
input.fub04TDNe,t_666,0.0159
input.fub04TDNe,t_671,0.5498
input.fub04TDNe,t_676,0.3163
input.fub04TDNe,t_681,0.5634
input.fub04TDNe,t_686,0.5612
input.fub04TDNe,t_691,0.3042
input.fub04TDNe,t_696,0.4439
input.fub04TDNg,t_301,0.2911
input.fub04TDNg,t_306,0.0941
input.fub04TDNg,t_311,0.2694
input.fub04TDNg,t_316,0.3477
input.fub04TDNg,t_321,0.2511
input.fub04TDNg,t_326,0.5456
input.fub04TDNg,t_331,0.2329
input.fub04TDNg,t_336,0.145
input.fub04TDNg,t_341,0.3722
input.fub04TDNg,t_346,0.0811
input.fub04TDNg,t_351,0.5502
input.fub04TDNg,t_356,0.0524
input.fub04TDNg,t_361,0.4099
input.fub04TDNg,t_366,0.5441
input.fub04TDNg,t_371,0.0507
input.fub04TDNg,t_376,0.0227
input.fub04TDNg,t_381,0.0678
input.fub04TDNg,t_386,0.0447
input.fub04TDNg,t_391,0.0653
input.fub04TDNg,t_396,0.5136
input.fub04TDNg,t_401,0.0294
input.fub04TDNg,t_406,0.3816
input.fub04TDNg,t_411,0.4189
input.fub04TDNg,t_416,0.3121
input.fub04TDNg,t_421,0.0089
input.fub04TDNg,t_426,0.1645
input.fub04TDNg,t_431,0.5413
input.fub04TDNg,t_436,0.2479
input.fub04TDNg,t_441,0.6623
input.fub04TDNg,t_446,0.1886
input.fub04TDNg,t_601,0.7768
input.fub04TDNg,t_606,0.6724
input.fub04TDNg,t_611,0.2984
input.fub04TDNg,t_616,0.3225
