system,topic,score
input.anserini_ql,t_804,0.0817
input.anserini_ql,t_805,0.1217
input.anserini_ql,t_806,0.3652
input.anserini_ql,t_807,0.8598
input.anserini_ql,t_808,0.1164
input.anserini_ql,t_809,0.5184
input.anserini_ql,t_810,0.2337
input.anserini_ql,t_811,0.5397
input.anserini_ql,t_812,0.1402
input.anserini_ql,t_813,0.1178
input.anserini_ql,t_814,0.4318
input.anserini_ql,t_815,0.3161
input.anserini_ql,t_816,0.1338
input.anserini_ql,t_817,0.4016
input.anserini_ql,t_818,0.4941
input.anserini_ql,t_819,0.0839
input.anserini_ql,t_820,0.2112
input.anserini_ql,t_821,0.2196
input.anserini_ql,t_822,0.2241
input.anserini_ql,t_823,0.3311
input.anserini_ql,t_824,0.4425
input.anserini_ql,t_825,0.4578
input.anserini_qlax,t_321,0.2495
input.anserini_qlax,t_336,0.1641
input.anserini_qlax,t_341,0.3621
input.anserini_qlax,t_347,0.0713
input.anserini_qlax,t_350,0
input.anserini_qlax,t_362,0.2809
input.anserini_qlax,t_363,0.5921
input.anserini_qlax,t_367,0.1302
input.anserini_qlax,t_375,0.4985
input.anserini_qlax,t_378,0.1704
input.anserini_qlax,t_393,0.0175
input.anserini_qlax,t_397,0.5031
input.anserini_qlax,t_400,0.1881
input.anserini_qlax,t_408,0.0897
input.anserini_qlax,t_414,0.0063
input.anserini_qlax,t_422,0.0011
input.anserini_qlax,t_426,0.2977
input.anserini_qlax,t_427,0.0233
input.anserini_qlax,t_433,0.5505
input.anserini_qlax,t_439,0.0326
input.anserini_qlax,t_442,0.1298
input.anserini_qlax,t_445,0.241
input.anserini_qlax,t_626,0.5333
input.anserini_qlax,t_646,0.0837
input.anserini_qlax,t_690,0.031
input.anserini_qlax,t_801,0.1869
input.anserini_qlax,t_802,0.2215
input.anserini_qlax,t_803,0.2922
input.anserini_qlax,t_804,0.0106
input.anserini_qlax,t_805,0.0925
input.anserini_qlax,t_806,0.6366
input.anserini_qlax,t_807,0.89
input.anserini_qlax,t_808,0.2203
input.anserini_qlax,t_809,0.6167
input.anserini_qlax,t_810,0.1741
input.anserini_qlax,t_811,0.6006
input.anserini_qlax,t_812,0.1687
input.anserini_qlax,t_813,0.0811
